Type,Name,Image Location,Summoning Cost,Health,Attack,Sigil Code,Applies to Characters,Applies to Avatars,Spell Code
Character,Chipmunk,01chipmunk.png,0,1,1,,,,
Character,Chipmunk,01chipmunk.png,0,1,1,,,,
Character,Chipmunk,01chipmunk.png,0,1,1,,,,
Character,Chipmunk,01chipmunk.png,0,1,1,,,,
Character,Chipmunk,01chipmunk.png,0,1,1,,,,
Character,Chipmunk,01chipmunk.png,0,1,1,,,,
Character,Chipmunk,01chipmunk.png,0,1,1,,,,
Character,Chipmunk,01chipmunk.png,0,1,1,,,,
Character,Chipmunk,01chipmunk.png,0,1,1,,,,
Character,Chipmunk,01chipmunk.png,0,1,1,,,,
Character,Platypus,02platypus.png,1,2,1,,,,
Character,Platypus,02platypus.png,1,2,1,,,,
Character,Platypus,02platypus.png,1,2,1,,,,
Character,Platypus,02platypus.png,1,2,1,,,,
Character,Medusa,03medusa.png,10,5,5,STONE_OCEAN,,,
Character,Panther,04panther.png,2,3,2,,,,
Character,Panther,04panther.png,2,3,2,,,,
Character,Black Cat,05blackcat.png,2,2,1,NINE_LIVES,,,
Character,Black Cat,05blackcat.png,2,2,1,,,,
Character,Stingray,06stingray.png,1,1,3,TOUCH_OF_DEATH,,,
Character,Stingray,06stingray.png,1,1,3,,,,
Character,Stingray,06stingray.png,1,1,3,,,,
Character,Stingray,06stingray.png,1,1,3,,,,
Character,Converge Router,07convergerouter.png,1,5,0,,,,
Character,Bio Lab Microscope,08biolabmicroscope.png,2,2,2,,,,
Character,Bio Lab Microscope,08biolabmicroscope.png,2,2,2,,,,
Character,Gaming Mouse,09gamingmouse.png,2,1,3,,,,
Character,Gaming Mouse,09gamingmouse.png,2,1,3,,,,
Character,Grandma's Flower Vase,01chipmunk.png,3,1,4,RESURRECTION,,,
Character,Communist Manifesto,11communistmanifesto.png,4,5,3,WORTHY_SACRIFICE,,,
